"id","name","type","state","oricodes","total_shootings"
"508","Albuquerque Police Department","local_police","NM","NM00101","39"
"290","Arcola Police Department","local_police","IL","IL02101","1"
"21","Aurora Police Department","local_police","CO","CO00101","21"
"139","Bloomington Police Department","local_police","MN","MN02701","1"
"287","Burlington Police Department","local_police","IA","IA02901","3"
"195","Chandler Police Department","local_police","AZ","AZ00705","9"
"1237","Chesapeake Police Department","local_police","VA","VA10300","2"
"90","Columbus Police Department","local_police","OH","OHCOP00","36"
"491","Davis County Sheriff's Office","sheriff","UT","UT00600","2"
"106","Denver Police Department","local_police","CO","CODPD00","40"
"133","Derry Police Department","local_police","NH","NH00816","2"
"115","Des Moines Police Department","local_police","IA","IA07703","4"
"228","Draper Police Department","local_police","UT","UT01812","1"
"289","England Police Department","local_police","AR","AR04301","1"
"473","Evans Police Department","local_police","CO","CO06204","3"
"114","Fairfield Police Department","local_police","CA","CA04803","3"
"116","Fort Worth Police Department","local_police","TX","TX22012","22"
"278","Franklin County Sheriff's Department","sheriff","MO","MO03600","1"
"246","Freeport Police Department","local_police","TX","TX02005","1"
"120","Fremont Police Department","local_police","CA","CA00105","9"
"77","Indianapolis Metropolitan Police Department","local_police","IN","INIPD00","21"
"292","Jourdanton Police Department","local_police","TX","TX00704","1"
"130","Kentucky State Police","state_police","KY","KY001SP;KY002SP;KY003SP;KY004SP;KY005SP;KY006SP;KY007SP;KY008SP;KY009SP;KY010SP;KY011SP;KY012SP;KY013SP;KY014SP;KY015SP;KY016SP;KY017SP;KY018SP;KY019SP;KY020SP;KY021SP;KY022SP;KY023SP;KY024SP;KY025SP;KY026SP;KY027SP;KY028SP;KY029SP;KY030SP;KY031SP;KY032SP;KY033SP;KY034SP;KY035SP;KY036SP;KY03702;KY037SP;KY038SP;KY039SP;KY040SP;KY041SP;KY042SP;KY043SP;KY044SP;KY045SP;KY046SP;KY047SP;KY048SP;KY049SP;KY050SP;KY051SP;KY052SP;KY053SP;KY054SP;KY055SP;KY056SP;KY057SP;KY058SP;KY059SP;KY060SP;KY061SP;KY062SP;KY063SP;KY064SP;KY065SP;KY066SP;KY067SP;KY068SP;KY069SP;KY070SP;KY071SP;KY072SP;KY073SP;KY074SP;KY075SP;KY076SP;KY077SP;KY078SP;KY079SP;KY080SP;KY081SP;KY082SP;KY083SP;KY084SP;KY085SP;KY086SP;KY087SP;KY088SP;KY089SP;KY090SP;KY091SP;KY092SP;KY093SP;KY094SP;KY095SP;KY096SP;KY097SP;KY098SP;KY099SP;KY100SP;KY101SP;KY102SP;KY103SP;KY104SP;KY105SP;KY106SP;KY107SP;KY108SP;KY109SP;KY110SP;KY111SP;KY112SP;KY113SP;KY114SP;KY115SP;KY116SP;KY117SP;KY118SP;KY119SP;KY120SP;KYKSP00;KYKSP01;KYKSP02;KYKSP03;KYKSP04;KYKSP05;KYKSP06;KYKSP07;KYKSP08;KYKSP09;KYKSP10;KYKSP11;KYKSP12;KYKSP13;KYKSP14;KYKSP15;KYKSP16;KYKSP25;KYKSP32;KYKSP33;KYKSP35","41"
"227","Lake Jackson Police Department","local_police","TX","TX02008","2"
"111","Longview Police Department","local_police","TX","TX09205","3"
"38","Los Angeles Police Department","local_police","CA","CA01942","119"
"509","Louisiana State Police","state_police","LA","LALSP00","9"
"127","Maricopa Police Department","local_police","AZ","AZ01117","2"
"73","Mason County Sheriff's Office","sheriff","WA","WA02300","3"
"125","Muskogee Police Department","local_police","OK","OK05101","5"
"145","New Orleans Police Department","local_police","LA","LANPD00","9"
"493","North Las Vegas Police Department","local_police","NV","NV00202","10"
"101","Oklahoma Highway Patrol","state_police","OK","OKOHP00","20"
"293","Old Bridge Police Department","local_police","NJ","NJ01209","2"
"267","Riverside County Sheriff's Department","sheriff","CA","CA03300","50"
"490","Saline County Sheriff's Department","sheriff","KS","KS08500","1"
"250","Salt Lake City Police Department","local_police","UT","UT01803","15"
"196","San Francisco Police Department","local_police","CA","CA03801","19"
"510","Scottsdale Police Department","local_police","AZ","AZ00725","5"
"494","South Gate Police Department","local_police","CA","CA01969","5"
"134","St. Louis Police Department","local_police","MO","MOSPD00","27"
"168","Stockton Police Department","local_police","CA","CA03905","14"
"63","St. Paul Police Department","local_police","MN","MN06209","9"
"492","Syracuse Police Department","local_police","UT","UT00612","1"
"119","Texas Rangers","state_police","TX","","5"
"249","Union County Sheriff's Department","sheriff","AR","AR07000","1"
"2195","U.S. Border Patrol","federal","TX","TXINS0100;TXINS0200;TXINS0300;TXINS0400;TXINS0500;TXINS0600","9"
"1567","U.S. Marshal's Service","federal","PA","","5"
"70","Washington County Sheriff's Office","sheriff","OR","OR03400","4"
"229","West Valley City Police Department","local_police","UT","UT01825","4"
"108","Weymouth Police Department","local_police","MA","MA01127","1"
"238","Wichita Police Department","local_police","KS","KS08703","14"
"254","Yellowstone County Sheriff's Department","sheriff","MT","MT05600","2"
